ICD9,Description,HCUP CCS Classification,HCC Category,CCW Classification,CDPS Classification
10,Cholera d/t vib cholerae,Intest infct,,,"Gastrointestinal, Super Low"
11,Cholera d/t vib el tor,Intest infct,,,"Gastrointestinal, Super Low"
19,Cholera NOS,Intest infct,,,"Gastrointestinal, Super Low"
20,Typhoid fever,Intest infct,,,"Gastrointestinal, Super Low"
21,Paratyphoid fever a,Intest infct,,,"Gastrointestinal, Super Low"
22,Paratyphoid fever b,Intest infct,,,"Gastrointestinal, Super Low"
23,Paratyphoid fever c,Intest infct,,,"Gastrointestinal, Super Low"
29,Paratyphoid fever NOS,Intest infct,,,"Gastrointestinal, Super Low"
30,Salmonella enteritis,Intest infct,,,"Gastrointestinal, Super Low"
31,Salmonella septicemia,Septicemia,HCC2 Septicemia/Shock,,"Gastrointestinal, Super Low"
320,Local salmonella inf NOS,Intest infct,,,"Gastrointestinal, Super Low"
321,Salmonella meningitis,Meningitis,,,"Gastrointestinal, Super Low"
322,Salmonella pneumonia,Pneumonia,"HCC112 Pneumococcal Pneumonia, Empyema, Lung Abscess",,"Gastrointestinal, Super Low"
323,Salmonella arthritis,Infect arth,HCC37 Bone/Joint/Muscle Infections/Necrosis,,"Gastrointestinal, Super Low"
324,Salmonella osteomyelitis,Infect arth,HCC37 Bone/Joint/Muscle Infections/Necrosis,,"Gastrointestinal, Super Low"
329,Local salmonella inf NEC,Intest infct,,,"Gastrointestinal, Super Low"
38,Salmonella infection NEC,Intest infct,,,"Gastrointestinal, Super Low"
39,Salmonella infection NOS,Intest infct,,,"Gastrointestinal, Super Low"
40,Shigella dysenteriae,Intest infct,,,"Gastrointestinal, Super Low"
41,Shigella flexneri,Intest infct,,,"Gastrointestinal, Super Low"
42,Shigella boydii,Intest infct,,,"Gastrointestinal, Super Low"
43,Shigella sonnei,Intest infct,,,"Gastrointestinal, Super Low"
48,Shigella infection NEC,Intest infct,,,"Gastrointestinal, Super Low"
49,Shigellosis NOS,Intest infct,,,"Gastrointestinal, Super Low"
50,Staph food poisoning,Intest infct,,,"Gastrointestinal, Super Low"
51,Botulism food poisoning,Intest infct,,,"Gastrointestinal, Super Low"
52,Food pois d/t c. perfrin,Intest infct,,,"Gastrointestinal, Super Low"
53,Food pois: clostrid NEC,Intest infct,,,"Gastrointestinal, Super Low"
54,Food pois: v. parahaem,Intest infct,,,"Gastrointestinal, Super Low"
581,Food poisn d/t v. vulnif,Intest infct,,,"Gastrointestinal, Super Low"
589,Bact food poisoning NEC,Intest infct,,,"Gastrointestinal, Super Low"
59,Food poisoning NOS,Intest infct,,,"Gastrointestinal, Super Low"
60,Ac amebiasis w/o abscess,Intest infct,,,"Gastrointestinal, Super Low"
61,Chr amebiasis w/o absces,Intest infct,,,"Gastrointestinal, Super Low"
62,Amebic nondysent colitis,Intest infct,,,"Gastrointestinal, Super Low"
63,Amebic liver abscess,Intest infct,,,"Gastrointestinal, Super Low"
64,Amebic lung abscess,Intest infct,"HCC112 Pneumococcal Pneumonia, Empyema, Lung Abscess",,"Gastrointestinal, Super Low"
65,Amebic brain abscess,Intest infct,,,"Gastrointestinal, Super Low"
66,Amebic skin ulceration,Intest infct,,,"Gastrointestinal, Super Low"
68,Amebic infection NEC,Intest infct,,,"Gastrointestinal, Super Low"
69,Amebiasis NOS,Intest infct,,,"Gastrointestinal, Super Low"
70,Balantidiasis,Intest infct,,,"Gastrointestinal, Super Low"
71,Giardiasis,Intest infct,,,"Gastrointestinal, Super Low"
72,Coccidiosis,Intest infct,,,"Gastrointestinal, Super Low"
73,Intest trichomoniasis,Intest infct,,,"Gastrointestinal, Super Low"
74,Cryptosporidiosis,Intest infct,HCC5 Opportunistic Infections,,"Gastrointestinal, Super Low"
75,Cyclosporiasis,Intest infct,,,"Gastrointestinal, Low"
78,Protozoal intest dis NEC,Intest infct,,,"Gastrointestinal, Super Low"
79,Protozoal intest dis NOS,Intest infct,,,"Gastrointestinal, Super Low"
800,Intest infec e coli NOS,Intest infct,,,"Gastrointestinal, Super Low"
801,Int inf e coli entrpath,Intest infct,,,"Gastrointestinal, Super Low"
802,Int inf e coli entrtoxgn,Intest infct,,,"Gastrointestinal, Super Low"
803,Int inf e coli entrnvsv,Intest infct,,,"Gastrointestinal, Super Low"
804,Int inf e coli entrhmrg,Intest infct,,,"Gastrointestinal, Super Low"
809,Int inf e coli spcf NEC,Intest infct,,,"Gastrointestinal, Super Low"
81,Arizona enteritis,Intest infct,,,"Gastrointestinal, Super Low"
82,Aerobacter enteritis,Intest infct,,,"Gastrointestinal, Super Low"
83,Proteus enteritis,Intest infct,,,"Gastrointestinal, Super Low"
841,Staphylococc enteritis,Intest infct,,,"Gastrointestinal, Super Low"
842,Pseudomonas enteritis,Intest infct,,,"Gastrointestinal, Super Low"
843,Int infec campylobacter,Intest infct,,,"Gastrointestinal, Super Low"
844,Int inf yrsnia entrcltca,Intest infct,,,"Gastrointestinal, Super Low"
845,Int inf clstrdium dfcile,Intest infct,,,"Gastrointestinal, Super Low"
846,Intes infec oth anerobes,Intest infct,,,"Gastrointestinal, Super Low"
847,Int inf oth grm neg bctr,Intest infct,,,"Gastrointestinal, Super Low"
849,Bacterial enteritis NEC,Intest infct,,,"Gastrointestinal, Super Low"
85,Bacterial enteritis NOS,Intest infct,,,"Gastrointestinal, Super Low"
861,Intes infec rotavirus,Intest infct,,,"Gastrointestinal, Super Low"
862,Intes infec adenovirus,Intest infct,,,"Gastrointestinal, Super Low"
863,Int inf norwalk virus,Intest infct,,,"Gastrointestinal, Super Low"
864,Int inf oth sml rnd vrus,Intest infct,,,"Gastrointestinal, Super Low"
865,Enteritis d/t calicivirs,Intest infct,,,"Gastrointestinal, Super Low"
866,Intes infec astrovirus,Intest infct,,,"Gastrointestinal, Super Low"
867,Int inf enterovirus NEC,Intest infct,,,"Gastrointestinal, Super Low"
869,Other viral intes infec,Intest infct,,,"Gastrointestinal, Super Low"
88,Viral enteritis NOS,Intest infct,,,"Gastrointestinal, Super Low"
90,Infectious enteritis NOS,Intest infct,,,"Gastrointestinal, Super Low"
91,Enteritis of infect orig,Intest infct,,,"Gastrointestinal, Super Low"
92,Infectious diarrhea NOS,Intest infct,,,"Gastrointestinal, Super Low"
93,Diarrhea of infect orig,Intest infct,,,"Gastrointestinal, Super Low"
00100,Prim TB complex-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01001,Prim TB complex-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01002,Prim TB complex-exm unkn,Tuberculosis,,,"Pulmonary, Super Low"
01003,Prim TB complex-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01004,Prim TB complex-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01005,Prim TB complex-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01006,Prim TB complex-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00101,Prim TB pleurisy-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01011,Prim TB pleurisy-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01012,Prim TB pleur-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01013,Prim TB pleuris-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01014,Prim TB pleurisy-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01015,Prim TB pleuris-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01016,Prim TB pleuris-oth test,Tuberculosis,,,"Pulmonary, Super Low"
01080,Prim prog TB NEC-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01081,Prim prog TB NEC-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01082,Prim pr TB NEC-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01083,Prim prg TB NEC-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01084,Prim prog TB NEC-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01085,Prim prg TB NEC-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01086,Prim prg TB NEC-oth test,Tuberculosis,,,"Pulmonary, Super Low"
01090,Primary TB NOS-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01091,Primary TB NOS-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01092,Primary TB NOS-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01093,Primary TB NOS-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01094,Primary TB NOS-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01095,Primary TB NOS-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01096,Primary TB NOS-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00110,TB lung infiltr-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01101,TB lung infiltr-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01102,TB lung infiltr-exm unkn,Tuberculosis,,,"Pulmonary, Super Low"
01103,TB lung infiltr-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01104,TB lung infiltr-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01105,TB lung infiltr-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01106,TB lung infiltr-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00111,TB lung nodular-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01111,TB lung nodular-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01112,TB lung nodul-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01113,TB lung nodular-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01114,TB lung nodular-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01115,TB lung nodular-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01116,TB lung nodular-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00112,TB lung w cavity-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01121,TB lung w cavity-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01122,TB lung cavity-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01123,TB lung w cavit-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01124,TB lung w cavity-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01125,TB lung w cavit-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01126,TB lung w cavit-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00113,TB of bronchus-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01131,TB of bronchus-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01132,TB of bronchus-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01133,TB of bronchus-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01134,TB of bronchus-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01135,TB of bronchus-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01136,TB of bronchus-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00114,TB lung fibrosis-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01141,TB lung fibrosis-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01142,TB lung fibros-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01143,TB lung fibros-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01144,TB lung fibrosis-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01145,TB lung fibros-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01146,TB lung fibros-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00115,TB bronchiectasis-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01151,TB bronchiect-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01152,TB bronchiect-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01153,TB bronchiect-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01154,TB bronchiect-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01155,TB bronchiect-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01156,TB bronchiect-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00116,TB pneumonia-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01161,TB pneumonia-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01162,TB pneumonia-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01163,TB pneumonia-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01164,TB pneumonia-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01165,TB pneumonia-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01166,TB pneumonia-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00117,TB pneumothorax-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01171,TB pneumothorax-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01172,TB pneumothorx-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01173,TB pneumothorax-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01174,TB pneumothorax-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01175,TB pneumothorax-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01176,TB pneumothorax-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00118,Pulmonary TB NEC-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01181,Pulmonary TB NEC-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01182,Pulmon TB NEC-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01183,Pulmon TB NEC-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01184,Pulmon TB NEC-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01185,Pulmon TB NEC-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01186,Pulmon TB NEC-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00119,Pulmonary TB NOS-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01191,Pulmonary TB NOS-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01192,Pulmon TB NOS-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01193,Pulmon TB NOS-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01194,Pulmon TB NOS-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01195,Pulmon TB NOS-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01196,Pulmon TB NOS-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00120,TB pleurisy-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01201,TB pleurisy-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01202,TB pleurisy-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01203,TB pleurisy-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01204,TB pleurisy-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01205,TB pleurisy-histolog dx,Tuberculosis,,,"Pulmonary, Super Low"
01206,TB pleurisy-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00121,TB thoracic nodes-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01211,TB thorax node-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01212,TB thorax node-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01213,TB thorax node-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01214,TB thorax node-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01215,TB thorax node-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01216,TB thorax node-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00122,Isol tracheal tb-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01221,Isol tracheal tb-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01222,Isol trach tb-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01223,Isolat trach tb-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01224,Isol tracheal tb-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01225,Isolat trach tb-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01226,Isolat trach tb-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00123,TB laryngitis-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01231,TB laryngitis-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01232,TB laryngitis-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01233,TB laryngitis-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01234,TB laryngitis-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01235,TB laryngitis-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01236,TB laryngitis-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00128,Resp TB NEC-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01281,Resp TB NEC-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01282,Resp TB NEC-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01283,Resp TB NEC-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01284,Resp TB NEC-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01285,Resp TB NEC-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01286,Resp TB NEC-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00130,TB meningitis-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01301,TB meningitis-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01302,TB meningitis-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01303,TB meningitis-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01304,TB meningitis-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01305,TB meningitis-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01306,TB meningitis-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00131,Tubrclma meninges-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01311,Tubrclma mening-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01312,Tubrclma menin-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01313,Tubrclma mening-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01314,Tubrclma mening-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01315,Tubrclma mening-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01316,Tubrclma mening-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00132,Tuberculoma brain-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01321,Tubrcloma brain-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01322,Tubrclma brain-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01323,Tubrcloma brain-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01324,Tubrcloma brain-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01325,Tubrcloma brain-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01326,Tubrcloma brain-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00133,TB brain abscess-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01331,TB brain abscess-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01332,TB brain absc-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01333,TB brain absc-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01334,TB brain abscess-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01335,TB brain absc-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01336,TB brain absc-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00134,Tubrclma sp cord-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01341,Tubrclma sp cord-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01342,Tubrclma sp cd-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01343,Tubrclma sp crd-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01344,Tubrclma sp cord-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01345,Tubrclma sp crd-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01346,Tubrclma sp crd-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00135,TB sp crd abscess-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01351,TB sp crd absc-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01352,TB sp crd absc-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01353,TB sp crd absc-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01354,TB sp crd absc-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01355,TB sp crd absc-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01356,TB sp crd absc-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00136,TB encephalitis-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01361,TB encephalitis-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01362,TB encephalit-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01363,TB encephalitis-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01364,TB encephalitis-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01365,TB encephalitis-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01366,TB encephalitis-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00138,Cns TB NEC-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01381,Cns TB NEC-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01382,Cns TB NEC-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01383,Cns TB NEC-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01384,Cns TB NEC-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01385,Cns TB NEC-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01386,Cns TB NEC-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00139,Cns TB NOS-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01391,Cns TB NOS-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01392,Cns TB NOS-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01393,Cns TB NOS-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01394,Cns TB NOS-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01395,Cns TB NOS-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01396,Cns TB NOS-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00140,TB peritonitis-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01401,TB peritonitis-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01402,TB peritonitis-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01403,TB peritonitis-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01404,TB peritonitis-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01405,TB peritonitis-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01406,TB peritonitis-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00148,Intestinal TB NEC-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01481,Intestin TB NEC-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01482,Intest TB NEC-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01483,Intestin TB NEC-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01484,Intestin TB NEC-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01485,Intestin TB NEC-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01486,Intestin TB NEC-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00150,TB of vertebra-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01501,TB of vertebra-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01502,TB of vertebra-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01503,TB of vertebra-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01504,TB of vertebra-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01505,TB of vertebra-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01506,TB of vertebra-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00151,TB of hip-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01511,TB of hip-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01512,TB of hip-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01513,TB of hip-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01514,TB of hip-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01515,TB of hip-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01516,TB of hip-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00152,TB of knee-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01521,TB of knee-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01522,TB of knee-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01523,TB of knee-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01524,TB of knee-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01525,TB of knee-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01526,TB of knee-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00155,TB of limb bones-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01551,TB limb bones-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01552,TB limb bones-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01553,TB limb bones-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01554,TB limb bones-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01555,TB limb bones-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01556,TB limb bones-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00156,TB of mastoid-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01561,TB of mastoid-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01562,TB of mastoid-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01563,TB of mastoid-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01564,TB of mastoid-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01565,TB of mastoid-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01566,TB of mastoid-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00157,TB of bone NEC-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01571,TB of bone NEC-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01572,TB of bone NEC-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01573,TB of bone NEC-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01574,TB of bone NEC-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01575,TB of bone NEC-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01576,TB of bone NEC-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00158,TB of joint NEC-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01581,TB of joint NEC-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01582,TB joint NEC-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01583,TB of joint NEC-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01584,TB of joint NEC-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01585,TB of joint NEC-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01586,TB of joint NEC-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00159,TB bone/joint NOS-unspec,Tuberculosis,,,"Pulmonary, Super Low"
01591,TB bone/jt NOS-no exam,Tuberculosis,,,"Pulmonary, Super Low"
01592,TB bone/jt NOS-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
01593,TB bone/jt NOS-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
01594,TB bone/jt NOS-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
01595,TB bone/jt NOS-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
01596,TB bone/jt NOS-oth test,Tuberculosis,,,"Pulmonary, Super Low"
00160,TB of kidney-unspec,Tuberculosis,,Kidney Diseas,"Pulmonary, Super Low"
